ZAT_ORIGEN;ZAT_DESTINO;n_viajes;cumsum_viajes
910.0;910.0;344392.14021974796;0.010539974735150644
904.0;904.0;308357.5688464791;0.019977126764696294
907.0;907.0;265112.5081304916;0.028090782134080863
902.0;902.0;190708.86888127922;0.033927345821322
901.0;901.0;185162.64190108646;0.03959416959461115
900.0;900.0;155274.5569751427;0.04434628126151925
909.0;909.0;79818.6436833283;0.046789096847494785
551.0;551.0;62503.83902709966;0.048702000213335817
464.0;154.0;61999.2046276725;0.05059945945836429
464.0;133.0;61999.2046276725;0.05249691870339276
154.0;464.0;61999.2046276725;0.05439437794842123
154.0;133.0;61999.2046276725;0.056291837193449705
210.0;210.0;61903.113615060705;0.05818635561397342
663.0;575.0;58318.19105652121;0.05997115900682441
575.0;663.0;58318.19105652121;0.06175596239967541
915.0;915.0;56734.313039648136;0.06349229188057605
550.0;550.0;54398.39197087137;0.06515713149230459
625.0;625.0;50766.020948858815;0.06671080393634958
203.0;203.0;47837.35963992127;0.06817484594868867
276.0;551.0;47455.8686711796;0.06962721259245036
328.0;202.0;44538.5788713261;0.07099029682469724
202.0;328.0;44538.5788713261;0.0723533810569441
913.0;913.0;42735.71817843804;0.07366128950573113
37.0;37.0;41129.92656227966;0.0749200533861972
520.0;510.0;39836.4069775586;0.07613922965083185
510.0;520.0;39836.4069775586;0.0773584059154665
184.0;209.0;39589.8478856232;0.07857003634413039
209.0;184.0;39589.8478856232;0.07978166677279427
900.0;901.0;38612.930720639204;0.08096339906780535
901.0;900.0;38549.39580788152;0.08214318690387831
906.0;906.0;38520.14074679936;0.08332207940126996
623.0;623.0;36794.031142908294;0.08444814504958338
108.0;106.0;35318.031020594055;0.08552903834295181
106.0;108.0;35318.031020594055;0.08660993163632023
136.0;222.0;35048.7815185632;0.08768258466338338
222.0;136.0;35048.7815185632;0.08875523769044655
560.0;560.0;34119.23101059126;0.08979944222021582
349.0;351.0;33817.42345388599;0.09083441005828675
194.0;194.0;33651.21391925848;0.09186429112435818
453.0;431.0;33349.67317350606;0.0928849436643668
431.0;453.0;33349.67317350606;0.0939055962043754
351.0;431.0;33233.1254369317;0.09492268185055726
912.0;912.0;32257.787954770363;0.09590991770860612
207.0;207.0;32162.831507365136;0.09689424746503503
138.0;136.0;31775.839148181563;0.09786673348517574
136.0;188.0;31503.969345987;0.09883089904584094
304.0;191.0;31503.969345987;0.09979506460650614
188.0;138.0;31503.969345987;0.10075923016717134
191.0;304.0;31503.969345987;0.10172339572783655
314.0;87.0;30656.648814739903;0.10266162940461433
87.0;314.0;30656.648814739903;0.10359986308139213
753.0;749.0;30258.84199949838;0.10452592205006117
749.0;753.0;30258.84199949838;0.10545198101873023
753.0;660.0;29973.535299970994;0.10636930829740522
660.0;753.0;29973.535299970994;0.1072866355760802
763.0;763.0;29942.442902945175;0.10820301128519005
527.0;275.0;29877.305233169;0.10911739348366604
275.0;527.0;29877.305233169;0.11003177568214204
908.0;908.0;28412.875735541118;0.11090133963971231
914.0;914.0;28278.307694184376;0.11176678519970489
905.0;905.0;26778.80782689823;0.11258633920506884
51.0;51.0;26590.258507736668;0.11340012273884473
103.0;103.0;26347.939419946753;0.11420649020017042
411.0;550.0;25127.775336639184;0.11497551505953488
49.0;47.0;24794.607259751127;0.11573434345184083
47.0;49.0;24794.607259751127;0.1164931718441468
416.0;560.0;24350.08589161175;0.11723839584935371
560.0;416.0;24350.08589161175;0.1179836198545606
314.0;314.0;24208.110476558344;0.11872449876267348
945.0;535.0;24157.53956073535;0.11946382996945155
535.0;945.0;24157.53956073535;0.12020316117622963
412.0;560.0;23727.9343355898;0.12092934449811048
560.0;412.0;23727.9343355898;0.12165552781999132
903.0;903.0;22870.432165523427;0.12235546765326623
47.0;47.0;22320.690823991794;0.12303858288698169
487.0;945.0;22029.14378766111;0.12371277544785371
945.0;487.0;22029.14378766111;0.12438696800872573
594.0;594.0;21175.42469724188;0.12503503286053275
92.0;170.0;20666.4015425575;0.12566751927554223
170.0;92.0;20666.4015425575;0.12630000569055172
776.0;776.0;20367.624609276132;0.12692334816480164
786.0;786.0;19934.294578648893;0.1275334287580694
234.0;234.0;19881.44025174386;0.12814189176717894
180.0;202.0;19794.9239428116;0.1287477069815109
202.0;180.0;19794.9239428116;0.12935352219584284
453.0;72.0;19721.25269335938;0.12995708273297038
72.0;453.0;19721.25269335938;0.13056064327009792
904.0;902.0;19537.204880202826;0.13115857110231097
902.0;904.0;18988.76991163007;0.13173971431595244
234.0;304.0;18862.20727693976;0.1323169841340768
562.0;562.0;18493.804797101348;0.13288297915125077
106.0;41.0;17758.52076104756;0.13342647111374348
41.0;106.0;17758.52076104756;0.13396996307623615
751.0;761.0;17753.623245326267;0.1345133051523466
779.0;782.0;17708.695635161937;0.13505527223808783
761.0;751.0;17631.85388880095;0.13559488761491745
119.0;119.0;17527.32872901958;0.13613130404376123
346.0;47.0;17524.3907592816;0.1366676305572928
71.0;108.0;17524.3907592816;0.1372039570708244
106.0;847.0;17524.3907592816;0.13774028358435597
108.0;71.0;17524.3907592816;0.13827661009788758
847.0;106.0;17524.3907592816;0.13881293661141916
47.0;346.0;17524.3907592816;0.13934926312495075
544.0;544.0;17381.86801091405;0.13988122779048537
522.0;535.0;17255.103771348477;0.1404093128904716
310.0;310.0;17175.526756348212;0.14093496256981475
168.0;168.0;17135.84172067237;0.14145939770554747
382.0;382.0;17044.86030897274;0.1419810483939346
751.0;751.0;16972.190917714805;0.14250047506656052
248.0;56.0;16840.99229872778;0.14301588646134497
56.0;21.0;16840.99229872778;0.1435312978561294
56.0;248.0;16840.99229872778;0.14404670925091384
21.0;56.0;16840.99229872778;0.1445621206456983
782.0;779.0;16749.689801325418;0.14507473776644594
297.0;508.0;16616.56271846586;0.14558328058953687
508.0;297.0;16616.56271846586;0.1460918234126278
69.0;997.0;16116.3832808681;0.14658505845711506
997.0;69.0;16116.3832808681;0.14707829350160234
413.0;413.0;16104.340292442786;0.14757115997555934
209.0;210.0;16007.498582765753;0.1480610626502477
210.0;209.0;16007.498582765753;0.14855096532493609
107.0;107.0;15995.604591097921;0.14904050398907648
360.0;498.0;15833.8993058164;0.14952509373184977
498.0;360.0;15833.8993058164;0.15000968347462304
761.0;761.0;15817.367956744833;0.15049376728250058
992.0;37.0;15613.194504285539;0.15097160244884658
300.0;623.0;15578.334502813996;0.15144837073969847
623.0;300.0;15578.334502813996;0.15192513903055033
911.0;911.0;15568.114952760283;0.15240159455642646
37.0;992.0;15513.2752274534;0.15287637173587218
25.0;629.0;15324.2652318119;0.15334536434492235
