,PARTIDO,fraccion,radio,hogar,LOCALIDA,CANPER,CANPERM3,CANPEREV,TIPOVIVI,COCHERA,AUTO,BICICLET,CICLOMO,MOTO,CANAUTOS,OTIPOVIV,z_cocherasino,z_tieneciclomo,z_tienemoto,z_tieneauto,wt1,z_gastoco2,z_gastoma2,z_Quintil_ing_per_capita_AD_EQUIV,IDH
0,Moron,6.0,7.0,021,HAEDO,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,134.119873046875,229.886363636364,260.921132457027,3.0,1.0
1,La Matanza,1.0,8.0,030,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,182.8368682861328,0.0,0.0,4.0,2.0
2,La Matanza,1.0,8.0,031,RAMOS MEJIA,2.0,2.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,140.8864288330078,0.0,0.0,3.0,3.0
3,La Matanza,1.0,8.0,011,RAMOS MEJIA,3.0,3.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,115.07070922851562,0.0,0.0,2.0,4.0
4,La Matanza,1.0,9.0,041,RAMOS MEJIA,3.0,2.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,1566.48681640625,0.0,0.0,1.0,5.0
5,La Matanza,15.0,7.0,011,RAMOS MEJIA,3.0,3.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,791.0789794921875,0.0,0.0,4.0,6.0
6,La Matanza,1.0,8.0,021,RAMOS MEJIA,1.0,1.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,185.97396850585938,280.285714285714,149.479338842975,5.0,7.0
7,La Matanza,1.0,8.0,041,RAMOS MEJIA,3.0,3.0,0.0,Departamento,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,148.51979064941406,0.0,0.0,1.0,8.0
8,E. Echeverria,3.0,4.0,010,MONTE GRANDE,1.0,1.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,212.81211853027344,0.0,0.0,2.0,9.0
9,Alte. Brown,2.0,2.0,051,JOSE MARMOL,4.0,4.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,325.4640808105469,400.0,260.921132457027,1.0,10.0
10,Alte. Brown,2.0,2.0,012,JOSE MARMOL,3.0,3.0,0.0,Casa,1.0,Si,1.0,No tiene,No tiene,1.0,,Si,No,No,Si,348.04766845703125,286.09375,441.921487603306,2.0,11.0
11,Alte. Brown,2.0,2.0,040,JOSE MARMOL,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,348.1670227050781,298.493150684931,260.921132457027,3.0,12.0
12,Vicente Lopez,2.0,8.0,020,OLIVOS,1.0,1.0,0.0,Departamento,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,368.46832275390625,0.0,0.0,5.0,13.0
13,Vicente Lopez,2.0,8.0,023,OLIVOS,1.0,1.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,355.5296936035156,246.551724137931,441.921487603306,3.0,14.0
14,Vicente Lopez,2.0,8.0,030,OLIVOS,1.0,1.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,349.7451477050781,239.5,441.921487603306,2.0,15.0
15,Vicente Lopez,2.0,8.0,031,OLIVOS,1.0,1.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,2.0,,Si,No,No,Si,356.5836181640625,506.782608695652,250.0,3.0,16.0
16,Vicente Lopez,2.0,8.0,040,OLIVOS,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,356.5836181640625,0.0,0.0,5.0,17.0
17,La Matanza,15.0,6.0,063,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,403.4335021972656,337.058823529412,441.921487603306,5.0,18.0
18,Vicente Lopez,2.0,9.0,020,OLIVOS,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,921.1708374023438,0.0,0.0,5.0,19.0
19,Vicente Lopez,2.0,9.0,033,OLIVOS,3.0,3.0,0.0,Departamento,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,679.481689453125,297.230769230769,208.979591836735,4.0,20.0
20,Vicente Lopez,1.0,1.0,011,LA LUCILA,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,467.9913024902344,229.886363636364,441.921487603306,4.0,21.0
21,Vicente Lopez,1.0,1.0,020,LA LUCILA,4.0,3.0,0.0,Casa,1.0,Si,2.0,No tiene,No tiene,2.0,,Si,No,No,Si,453.7972106933594,417.391304347826,683.881578947368,5.0,22.0
22,La Matanza,15.0,6.0,031,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,366.35986328125,0.0,0.0,4.0,23.0
23,La Matanza,15.0,6.0,050,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,366.35986328125,0.0,0.0,1.0,24.0
24,La Matanza,15.0,6.0,062,RAMOS MEJIA,1.0,1.0,0.0,Departamento,0.0,Si,No tiene,No tiene,No tiene,1.0,,No,No,No,Si,394.504150390625,305.825,441.921487603306,4.0,25.0
25,Alte. Brown,2.0,3.0,010,JOSE MARMOL,5.0,4.0,0.0,Casa,1.0,No,No tiene,No tiene,No tiene,No tiene,,Si,No,No,No,163.52635192871094,0.0,0.0,1.0,26.0
26,Alte. Brown,2.0,3.0,011,JOSE MARMOL,2.0,2.0,0.0,Casa,1.0,No,1.0,No tiene,No tiene,No tiene,,Si,No,No,No,174.08351135253906,0.0,0.0,5.0,27.0
27,Alte. Brown,2.0,3.0,021,JOSE MARMOL,2.0,2.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,2.0,,Si,No,No,Si,170.58958435058594,300.0,683.881578947368,3.0,28.0
28,Alte. Brown,3.0,12.0,012,JOSE MARMOL,2.0,2.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,324.17755126953125,0.0,0.0,2.0,29.0
29,Alte. Brown,3.0,13.0,012,JOSE MARMOL,5.0,5.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,1.0,,No,No,No,Si,171.1748046875,389.230769230769,441.921487603306,2.0,30.0
30,Alte. Brown,2.0,3.0,030,JOSE MARMOL,2.0,2.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,147.6163330078125,0.0,0.0,4.0,31.0
31,Alte. Brown,2.0,3.0,031,JOSE MARMOL,3.0,3.0,0.0,Casa,1.0,Si,2.0,No tiene,No tiene,1.0,,Si,No,No,Si,181.88436889648438,327.454545454545,441.921487603306,5.0,32.0
32,Alte. Brown,3.0,13.0,020,JOSE MARMOL,4.0,4.0,0.0,Casa,1.0,Si,No tiene,No tiene,No tiene,1.0,,Si,No,No,Si,185.4354705810547,373.855263157895,260.921132457027,5.0,33.0
33,Alte. Brown,2.0,3.0,040,JOSE MARMOL,3.0,3.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,181.24407958984375,0.0,0.0,2.0,34.0
34,Alte. Brown,3.0,12.0,021,JOSE MARMOL,4.0,4.0,0.0,Casa,0.0,No,No tiene,No tiene,No tiene,No tiene,,No,No,No,No,337.8191223144531,0.0,0.0,1.0,35.0
35,Alte. Brown,2.0,3.0,041,JOSE MARMOL,3.0,3.0,0.0,Casa,0.0,Si,1.0,No tiene,No tiene,1.0,,No,No,No,Si,159.33932495117188,327.454545454545,441.921487603306,5.0,36.0
36,Alte. Brown,2.0,3.0,050,JOSE MARMOL,5.0,5.0,0.0,Casa,1.0,Si,3.0,No tiene,No tiene,2.0,,Si,No,No,Si,198.64727783203125,1400.0,683.881578947368,5.0,37.0
37,Alte. Brown,3.0,12.0,022,JOSE MARMOL,1.0,1.0,0.0,Casa,0.0,No,2.0,No tiene,No tiene,No tiene,,No,No,No,No,440.2541198730469,0.0,0.0,1.0,38.0
