dto_origen,dto_dest,n_viajes,cumsum_viajes
64,66,29078,0.001610563631359609
66,64,29035,0.0032187455914850045
65,63,26601,0.004692113882213286
63,65,26527,0.006161383482910595
187,188,26389,0.007623009580577172
188,187,26160,0.009071951894228984
192,193,24401,0.010423467238090522
193,192,23544,0.011727515320377153
196,198,23156,0.013010072973852739
198,196,22951,0.014281276148188471
108,109,22557,0.01553065656749443
109,108,22433,0.016773168911613356
101,59,22422,0.018015071990997947
164,165,21788,0.019221859266603667
59,101,21581,0.020417181287663292
165,164,21200,0.021591400593833722
79,78,20879,0.02274784044730223
78,79,20795,0.023899627733708552
200,199,20443,0.025031918548616198
21,20,20274,0.02615484884169635
199,200,20234,0.027275563626651653
69,70,20229,0.02839600147309135
70,69,19904,0.029498438316016645
3,2,19880,0.030599545854067028
2,3,19832,0.03169799478236759
169,161,19816,0.032795557507418215
161,169,19793,0.03389184631529705
172,174,19367,0.03496453996164623
20,21,19154,0.03602543602723059
206,203,19138,0.03708544588956501
174,172,19057,0.038140969347946606
17,16,19043,0.039195717378484506
76,75,18833,0.04023883399136694
113,115,18756,0.041277685751109044
145,144,18577,0.04230662311199244
16,17,18551,0.04333412039259469
115,113,18484,0.04435790669708781
75,76,18474,0.04538113912454972
118,117,18312,0.04639539874410599
16,8,18288,0.04740832905878734
8,16,18271,0.04842031778251564
179,180,18207,0.04942876169324418
21,17,18172,0.05043526703436347
52,62,18087,0.05143706442071746
180,179,18082,0.05243858486855584
160,156,18073,0.05343960682706613
144,145,18041,0.05443885637907654
147,146,17991,0.05543533654593089
47,48,17873,0.05642528096381693
62,52,17832,0.057412954485875
156,160,17821,0.05840001874319874
124,126,17752,0.059383261249007106
126,124,17665,0.06036168502464393
6,4,17654,0.06133949953554642
117,118,17627,0.06231581857846463
17,21,17498,0.0632849926076802
146,147,17480,0.0642531696582396
201,200,17438,0.06521902042526789
4,6,17286,0.06617645226142176
48,47,17249,0.06713183475256014
72,69,17193,0.06808411553232374
200,201,16920,0.06902127546913522
1,3,16855,0.06995483520524384
69,72,16734,0.07088169302927479
117,111,16492,0.07179514702915038
157,159,16478,0.07270782560118229
121,119,16477,0.07362044878551106
119,121,16408,0.07452925021832447
52,51,16349,0.07543478377665375
111,117,16322,0.07633882186699872
128,131,16271,0.07724003518448454
173,174,16242,0.07813964225857982
131,128,16237,0.0790389723941595
102,101,16208,0.07993669628634867
159,157,16152,0.08083131846716304
15,9,16095,0.0817227835488995
141,142,15956,0.08260654973990211
175,174,15798,0.08348156467381157
46,45,15660,0.0843489361046903
174,175,15640,0.08521519978150659
174,173,15517,0.08607465077083898
9,15,15514,0.08693393559706199
24,23,15505,0.08779272193395692
81,80,15427,0.08864718803000839
5,4,15412,0.08950082331051304
80,81,15410,0.09035434781561145
23,24,15377,0.09120604452650687
3,1,15254,0.09205092854991836
165,167,15217,0.09289376322831437
19,20,15161,0.0937334961953356
106,107,15118,0.0945708474911226
167,165,15109,0.09540770029758151
51,52,15107,0.09624444232863419
56,55,15089,0.09708018738103068
55,56,15012,0.09791166758028683
24,22,14998,0.09874237235169929
45,46,14971,0.09957158165512747
127,126,14867,0.10039503063743105
4,5,14820,0.10121587639768792
22,23,14793,0.10203522668996053
59,58,14768,0.10285319228965509
58,59,14684,0.10366650532228748
126,127,14604,0.10447538733867016
72,75,14512,0.10527917368636569
22,24,14423,0.10607803052848343
142,141,14413,0.10687633349356995
14,15,14393,0.10767352870459405
23,22,14387,0.10847039158939943
2,21,14298,0.10926232496862702
191,189,14285,0.11005353830771403
189,191,14278,0.11084436393287919
31,30,13836,0.11161070819326475
25,26,13804,0.11237528004715044
43,44,13734,0.11313597476181765
45,43,13724,0.11389611559945363
8,2,13680,0.11465381937815229
15,14,13662,0.11541052617819476
181,182,13646,0.11616634677498729
21,2,13644,0.11692205659637357
75,72,13636,0.1176773233161349
16,21,13617,0.11843153766953692
101,102,13610,0.11918536430901708
2,8,13606,0.11993896939768477
26,25,13558,0.12068991587660262
182,181,13546,0.12144019770308304
107,106,13538,0.12219003642793846
16,58,13538,0.1229398751527939
44,43,13532,0.12368938155143061
15,47,13527,0.12443861101155171
58,16,13524,0.12518767430856345
30,31,13458,0.12593308201716918
43,45,13448,0.1266779358487437
140,139,13341,0.12741686319608428
2,1,13314,0.12815429507544054
21,16,13312,0.12889161617939057
119,120,13274,0.12962683255062202
139,140,13253,0.1303608857800879
202,203,13251,0.13109482823414753
128,130,13211,0.13182655518008232
130,128,13156,0.13255523580234543
172,170,12991,0.13327477745359356
19,113,12959,0.1339925466983418
120,119,12893,0.134706660354684
203,202,12868,0.1354193893184482
47,51,12833,0.1361301797126032
63,51,12830,0.13684080394364878
68,64,12777,0.13754849262642893
51,63,12729,0.13825352269945929
102,103,12605,0.1389516846973026
131,130,12589,0.13964896049189598
45,44,12580,0.14034573779716125
51,47,12573,0.1410421273885047
118,116,12554,0.14173746461348882
130,131,12533,0.1424316386967074
20,19,12516,0.14312487118897294
41,46,12495,0.14381694053947292
1,2,12474,0.14450784674820732
170,172,12425,0.14519603895948882
196,195,12405,0.1458831234167079
79,84,12398,0.1465698201600051
44,45,12388,0.14725596302627111
18,20,12370,0.14794110891388093
195,196,12369,0.14862619941378763
106,105,12247,0.14930453261391355
84,79,12238,0.14998236732471135
20,18,12230,0.1506597589338842
113,19,12207,0.15133587662588527
103,102,12162,0.15200950187124584
65,51,12135,0.1526816316486222
38,12,12122,0.15335304138585792
116,118,12118,0.1540242295722812
129,113,12084,0.15469353457679835
51,65,12067,0.15536189799036243
107,105,12045,0.15602904287445785
47,15,12041,0.15669596620774076
113,112,12039,0.15736277876561747
70,68,12017,0.15802837279402548
15,8,11996,0.15869280368066796
76,74,11979,0.15935629297635737
68,70,11956,0.160018508354875
112,113,11932,0.1606793944285177
194,195,11914,0.16133928352350424
113,129,11873,0.16199690172266282
105,107,11865,0.1626540768201964
151,155,11864,0.16331119653002688
74,76,11861,0.16396815007674798
159,160,11843,0.1646241066448129
126,125,11820,0.16527878929570602
129,138,11787,0.16593164415239617
116,111,11771,0.16658361280583636
49,47,11766,0.16723530452076094
64,68,11753,0.16788627619554497
46,41,11735,0.1685362508916728
111,116,11675,0.16918290232561334
37,38,11645,0.16982789212846025
182,183,11611,0.17047099874940105
47,49,11607,0.17111388381952936
48,49,11444,0.1717477406940489
143,142,11418,0.1723801574882873
195,194,11418,0.1730125742825257
183,182,11411,0.17364460336284224
138,129,11363,0.17427397383340895
142,143,11349,0.17490256887613198
125,124,11305,0.1755287268599177
8,15,11296,0.17615438635437528
105,104,11230,0.17677639026042688
160,159,11209,0.17739723102471294
124,125,11197,0.17801740713656153
38,37,11173,0.17863625394353522
52,61,11137,0.17925310679319656
12,38,11114,0.1798686857256861
125,126,11059,0.18048121833450395
50,49,11006,0.1810908153950564
104,105,10941,0.18169681225490594
1,4,10910,0.18230109209595874
53,54,10895,0.18290454112146473
15,53,10879,0.18350710394372077
56,57,10849,0.18410800513488318
62,51,10827,0.18470768779657692
49,50,10801,0.1853059303779895
51,62,10782,0.1859031205930428
61,52,10774,0.1864998677064711
53,15,10642,0.1870893036430874
4,1,10625,0.18767779798875064
155,151,10611,0.1882655169065702
39,38,10582,0.18885162958099921
102,105,10561,0.1894365791136627
49,48,10544,0.19002058705537314
184,192,10498,0.19060204716273998
1,5,10448,0.19118073788495077
2,16,10428,0.19175832085309913
29,27,10414,0.1923351283934038
105,106,10392,0.1929107174042398
5,1,10365,0.1934848109470915
38,39,10352,0.19405818444980266
27,29,10321,0.19462984093371705
192,184,10318,0.19520133125452205
16,2,10306,0.19577215692288963
186,187,10298,0.19634253948963223
152,153,10297,0.1969128666686717
187,186,10280,0.1974822522567581
153,152,10198,0.1980470960531886
56,59,10179,0.19861088748325975
