dto_origen,dto_dest,n_viajes,cumsum_viajes
66,64,44512,0.0014962038935452543
64,66,44229,0.002982895167979408
188,187,43673,0.004450897339142283
187,188,43668,0.005918731442829697
63,65,42407,0.007344178929205811
65,63,42311,0.008766399520053071
192,193,41862,0.010173527651603922
193,192,39632,0.011505697689099103
196,198,35985,0.012715279309992928
198,196,35738,0.013916558397598975
164,165,34539,0.015077534904589438
108,109,34535,0.016238376957599533
199,200,34411,0.017395050937218194
52,62,33890,0.0185342122858938
109,108,33826,0.019671222370883507
62,52,33782,0.020806753462089152
200,199,33741,0.02194090639999602
101,59,33663,0.02307243748528569
69,70,33448,0.024196741669130536
165,164,33272,0.025315129877839147
16,17,32968,0.02642329958403972
145,144,32768,0.02752474659122185
21,20,32647,0.028622126365497817
78,79,32589,0.029717556557058437
70,69,32573,0.03081244893269758
172,174,32327,0.03189907238854404
17,16,31988,0.032974300869554225
79,78,31986,0.03404946212357423
174,172,31796,0.035118236813526715
144,145,31689,0.03618341485950433
21,17,31647,0.03724718113868807
59,101,31573,0.038308460019234984
20,21,31228,0.03935814224397508
169,161,31166,0.040405740432019464
161,169,31010,0.04144809491482945
17,21,30963,0.04248886956337011
72,75,30389,0.04351035006572783
126,124,30368,0.04453112468468861
16,8,29978,0.04553879004056342
160,156,29847,0.04654205202858115
47,48,29769,0.04754269216398169
156,160,29731,0.04854205498656872
8,16,29705,0.049540543858283353
115,113,29482,0.050531536920592424
113,115,29364,0.051518563590480605
76,75,29191,0.05249977512571783
124,126,29038,0.05347584379620595
48,47,28912,0.05444767716631245
75,72,28677,0.05541161136507227
201,200,28507,0.056369831269666416
75,76,28342,0.057322504947570345
6,4,28229,0.05827138030052885
1,3,28191,0.05921897834067385
200,201,28084,0.06016297973684398
2,3,27986,0.061103687010495074
174,175,27981,0.06204422621667071
4,6,27642,0.06297337044801007
3,2,27408,0.06389464912149787
121,119,27232,0.06481001181984941
119,121,27133,0.06572204678218684
69,72,26937,0.06662749349948618
147,146,26786,0.0675278645790266
