EncuestaViaje_id,EncuestaHogar_id,EncuestaPersona_id,Estrato,sexo,edad,parentesco,TamanoHogar,Motorizacion,zatHogar,MzatHogar,DptoHogar,Anillo,zonaimm,zato,MzatO,AnilloOrigenViaje,zatd,Mzatd,AnilloDestinoViaje,CategoriaViaje,CategoriaViajeHB,HaciaoDesdeEstudio,Numeroviaje,NUMEROETAPA,MedioTransporte,ModoDesagregado,ModoAgregado,ModoViajeCompleto,ModoPrincipal,ModoPrincipalAgregado,CUADRASCAMINADAS,CUADRASCAMINADASDESPUES,siesapie,MOTIVOCUADRASAPIE,MOTIVOCUADRASAPIEOTRO,TIPOESTACIONAMIENTO,COSTOESTTIEMPOENUM,COSTOESTACIONAMIENTO,CostoestacionamientoxViaje,CostoestacionamientoEnHogar,CostoEstacionamientoxViajeTotal,COSTOPEAJE,PERSONASCONUSTED,COSTOTAXI,PAGOUSTEDTAXI,PERSONASCONUSTEDTAXI,COSTOTAXIPagado,LINEAFERROCARRIL,ESTACIONENTRADAFERROCARRIL,ESTACIONSALIDAFERROCARRIL,LineaOmnibus,LineaOMNIBUSDESTINO,TIPOLINEAOMNIBUS,TIPOBOLETOOMNIBUS,BoletoOmnibus,BoletoOmnibusDesagregado,PuntoTransferencia,CANTIDADBOLETOSOMNIBUS,COSTOTARIFA,CostoTarifaxViaje,Ponderacion
849,847,848,3,2,26,1, ,No Posee,5,1,1,Montevideo,Centro,5,1,Montevideo,113,5,Montevideo,Hogar-Estudio,HBNW,1,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,76,P. Cerro,5,8,Estudiante,Estudiante,,25,280,11.2,698.9109021412
850,847,848,3,2,26,1,2 Personas,No Posee,5,1,1,Montevideo,Centro,113,5,Montevideo,5,1,Montevideo,Hogar-Estudio,HBNW,1,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,17,Punta Carretas,5,8,Estudiante,Estudiante,,25,280,11.2,698.9109021412
7943,7046,7427,3,1,56,1,1 Persona,No Posee,24,4,1,Montevideo,Centro,24,4,Montevideo,167,17,Primer Anillo,Hogar-Trabajo,HBW,0,3,2,5,Omnibus Suburbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,,0,,,,,,221,Solymar,6,9,Metropolitano,Metropolitano,,1,0,0,155.3939770593
7944,7046,7427,3,1,56,1,1 Persona,No Posee,24,4,1,Montevideo,Centro,167,17,Primer Anillo,24,4,Montevideo,Hogar-Trabajo,HBW,0,4,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,2,,0,,0,0,0,0,0,0,,,,0,,,,,,370,Playa del cerro,5,9,Metropolitano,Metropolitano Entrante,,1,0,0,155.3939770593
3000,2996,2998,3,1,86,1,2 Personas,No Posee,24,4,1,Montevideo,Centro,1,1,Montevideo,24,4,Montevideo,Hogar-Salud,HBNW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,148,AVIACION CIVIL,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Transferencia,1,1,0,0,112.8449894082
3208,3193,3207,2,1,42,2,3 o 4 Personas,No Posee,2,1,1,Montevideo,Centro,2,1,Montevideo,2,1,Montevideo,Hogar-Otros,HBNW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,169,ADUANA,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Sin Transferencia,,1,0,0,710.0382294979
2311,2308,2309,2,1,34,1,3 o 4 Personas,No Posee,2,1,1,Montevideo,Centro,47,2,Montevideo,5,1,Montevideo,Otros,NHB,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,2,,0,,0,0,0,0,0,0,,,,0,,,,,,60,Ciudad Vieja,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Sin Transferencia,,1,0,0,785.901330134
3013,3011,3012,2,2,23,1,2 Personas,No Posee,1,1,1,Montevideo,Centro,1,1,Montevideo,45,2,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,6,,0,,0,0,0,0,0,0,,,,0,,,,,,143,8 de octubre,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Transferencia,1,1,0,0,516.2062408524
3014,3011,3012,2,2,23,1,2 Personas,No Posee,1,1,1,Montevideo,Centro,45,2,Montevideo,1,1,Montevideo,Hogar-Trabajo,HBW,0,2,2,12,Pie 10 cuadras o mas,Pie,Omnibus - Pie,Omnibus,Omnibus,,0,12,0,,0,0,0,0,0,0,,,,0,,,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,516.2062408524
12568,8037,9795,2,2,55,2,3 o 4 Personas,1 Auto-Otro,1,1,1,Montevideo,Centro,71,3,Montevideo,1,1,Montevideo,Hogar-Trabajo,HBW,0,2,2,12,Pie 10 cuadras o mas,Pie,Omnibus - Pie,Omnibus,Omnibus,,0,10,0,,0,0,0,0,0,0,,,,0,,,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,1024.4837311327
4474,4472,4473,3,2,29,1,5 o mas Personas,No Posee,18,1,1,Montevideo,Centro,18,1,Montevideo,52,11,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,142,PUNTA GORDA,5,3,Boleto 1 hora,Boleto 1 Hora No Pago Sin Transferencia,,1,0,0,589.7373884864
4475,4472,4473,3,2,29,1,5 o mas Personas,No Posee,18,1,1,Montevideo,Centro,52,11,Montevideo,18,1,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,2,,0,,0,0,0,0,0,0,,,,0,,,,,,468,LA PAZ,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,589.7373884864
4148,4145,4146,1,1,69,1,3 o 4 Personas,1 Auto-Otro,143,23,1,Montevideo,Oeste,9,1,Montevideo,143,23,Montevideo,Hogar-Otros,HBNW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,4,,0,,0,0,0,0,0,0,,,,0,,,,,,148,Aviacion,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,302.7351540558
4759,4755,4758,3,1,32,3,3 o 4 Personas,1 Auto-Otro,143,23,1,Montevideo,Oeste,143,23,Montevideo,34,4,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,,0,,,,,,183,Pocitos,5,11,Gratuito/Pase libre,Gratuito/Pase libre,,1,0,0,197.4127484799
4761,4755,4758,3,1,32,3,3 o 4 Personas,1 Auto-Otro,143,23,1,Montevideo,Oeste,34,4,Montevideo,143,23,Montevideo,Hogar-Trabajo,HBW,0,3,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,3,,0,,0,0,0,0,0,0,,,,0,,,,,,148,Aviacion Civil,5,11,Gratuito/Pase libre,Gratuito/Pase libre,,1,0,0,197.4127484799
6489,6487,6488,3,1,47,2,3 o 4 Personas,1 Auto-Otro,149,8,1,Montevideo,Oeste,149,8,Montevideo,3,1,Montevideo,Hogar-Otros,HBNW,0,1,2,12,Pie 10 cuadras o mas,Pie,Omnibus - Pie,Omnibus,Omnibus,,0,15,0,,0,0,0,0,0,0,,,,0,,,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,481.2382324105
6634,6627,6632,2,2,18,11,5 o mas Personas,1 Auto-Otro,149,8,1,Montevideo,Oeste,35,1,Montevideo,149,8,Montevideo,Hogar-Estudio,HBNW,1,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,,0,,,,,,148,Aviacion,5,5,Boleto comun,Estudiante,,1,16,16,768.4412122285
12983,8097,9972,2,1,61,1,3 o 4 Personas,Mas de Auto-Otro-Moto,122,22,1,Montevideo,Oeste,122,22,Montevideo,139,6,Montevideo,Hogar-Otros,HBNW,0,3,2,2,Auto pasajero,Auto,Moto conductor - Auto pasajero,Moto conductor,Moto,,0,,0,,0,0,0,0,0,0,,,,0,,,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,256.9662163897
9456,7356,8195,2,2,34,2,5 o mas Personas,1 Auto-Otro,72,3,1,Montevideo,Este,72,3,Montevideo,54,11,Montevideo,Hogar-Trabajo,HBW,0,1,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,,0,,,,,,64,,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,728.5961123351
9457,7356,8195,2,2,34,2,5 o mas Personas,1 Auto-Otro,72,3,1,Montevideo,Este,54,11,Montevideo,72,3,Montevideo,Hogar-Trabajo,HBW,0,2,2,5,Omnibus Urbano,Omnibus,Omnibus - Omnibus,Omnibus,Omnibus,,1,,0,,0,0,0,0,0,0,,,,0,,,,,,546,,5,4,Boleto 2 horas,Boleto 2 Horas No Pago,,1,0,0,728.5961123351
10500,7582,8731,3,1,24,3,3 o 4 Personas,1 Auto-Otro,62,3,1,Montevideo,Este,165,17,Primer Anillo,62,3,Montevideo,Hogar-Otros,HBNW,0,3,2,3,Taxi,Taxi - Remis,Omnibus - Taxi,Omnibus,Omnibus,,0,,0,,0,0,0,0,0,0,,,56,1,0,56,,,,,,,0,SIN CONTESTAR,SIN CONTESTAR,,,,,2248.0700285462
