EncuestaHogar_id,DEPARTAMENTO,Estrato,IdTamanoHogar,TamanoHogar,Personas,PersonasMenor4,PersonasDesde4,Autos,Motos,Otros,Vehiculos,EspaciosEstacionamiento,AutoECH,MotoECH,ZonaIMM,Ponderacion
51,1,1,3,3 o 4 Personas,3,0,3,0,1,0,1,0,2,1,Oeste,233.358347918
62,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Oeste,146.764519458
67,1,2,2,2 Personas,2,0,2,0,0,0,0,1,2,2,Este,227.7380474349
72,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,121.4602919653
118,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,471.382628463
124,1,2,3,3 o 4 Personas,4,0,4,0,0,0,0,2,2,2,Este,324.5889049133
142,1,2,2,2 Personas,2,0,2,0,0,0,0,1,2,2,Oeste,364.3808758958
145,1,2,4,5 o mas Personas,5,0,5,0,0,0,0,3,2,2,Oeste,330.1451134019
168,1,2,4,5 o mas Personas,5,0,5,0,0,0,0,1,2,2,Este,512.2941414857
185,1,3,3,3 o 4 Personas,3,0,3,0,2,0,2,2,2,1,Este,160.3978581399
199,1,2,3,3 o 4 Personas,4,2,2,1,0,0,1,1,1,2,Este,263.7284852421
208,1,2,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Este,392.5524637158
214,1,2,2,2 Personas,2,0,2,0,0,0,0,2,2,2,Oeste,146.764519458
219,1,2,2,2 Personas,2,0,2,0,1,0,1,0,2,2,Este,121.4602919653
224,1,3,1,1 Persona,1,0,1,0,0,0,0,3,2,2,Este,278.2292160681
229,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Este,342.1751291733
234,1,2,1,1 Persona,1,0,1,1,0,0,1,1,1,2,Este,392.5524637158
243,1,2,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Este,583.812416671
258,1,2,3,3 o 4 Personas,3,0,3,0,0,0,0,2,2,2,Este,359.2691794898
270,1,3,1,1 Persona,1,0,1,1,0,0,1,2,2,2,Este,278.2292160681
278,1,1,2,2 Personas,2,0,2,1,1,0,2,2,1,1,Oeste,115.3884330185
284,1,2,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Este,242.9205839305
292,1,3,2,2 Personas,2,0,2,1,0,0,1,0,2,2,Este,141.9662769974
303,1,2,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Este,181.1780601765
310,1,3,2,2 Personas,2,0,2,1,0,0,1,2,1,2,Este,191.1084498042
315,1,3,1,1 Persona,1,0,1,0,0,0,0,2,2,2,Este,155.3939770593
321,3,5,3,3 o 4 Personas,3,0,3,0,0,0,0,1,1,2,,337.5934402541
327,3,5,3,3 o 4 Personas,4,0,4,1,0,0,1,2,1,2,,744.801120164
341,3,5,2,2 Personas,2,0,2,0,0,0,0,1,1,2,,440.1330921903
347,3,5,2,2 Personas,2,0,2,0,1,0,1,0,2,1,,410.7908860443
356,1,4,3,3 o 4 Personas,4,0,4,1,0,0,1,0,1,2,Centro,244.9029140257
363,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,606.0867979506
368,3,5,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,,337.5934402541
376,3,5,2,2 Personas,2,0,2,1,0,0,1,1,1,2,,254.2991199322
379,1,4,1,1 Persona,1,0,1,1,0,0,1,0,2,2,Centro,263.8556851145
383,3,5,2,2 Personas,2,0,2,0,0,0,0,0,2,2,,312.9835322242
388,1,3,3,3 o 4 Personas,4,0,4,1,0,0,1,0,1,2,Centro,632.4845340252
399,3,5,2,2 Personas,2,0,2,1,0,0,1,2,1,2,,234.7376491682
408,1,4,1,1 Persona,1,0,1,0,0,0,0,1,2,2,Este,133.4101778669
410,3,5,1,1 Persona,1,0,1,0,0,0,0,1,2,2,,179.095909414
412,1,4,3,3 o 4 Personas,4,0,4,1,0,0,1,0,1,2,Centro,244.9029140257
425,3,5,1,1 Persona,1,0,1,1,0,0,1,1,1,1,,238.7945458854
432,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,263.8556851145
434,3,5,1,1 Persona,1,0,1,0,0,0,0,1,2,2,,123.1284377221
440,3,5,2,2 Personas,2,0,2,0,0,0,0,1,2,2,,312.9835322242
447,1,4,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,587.7904768258
452,1,4,1,1 Persona,1,0,1,1,0,0,1,1,1,2,Centro,173.4332312269
456,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,362.430983205
460,1,2,1,1 Persona,1,0,1,0,0,0,0,0,1,2,Centro,619.0250389364
464,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,378.865315497
468,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,159.8338049753
473,1,2,1,1 Persona,1,0,1,0,0,0,0,0,1,2,Centro,619.0250389364
475,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,159.8338049753
479,1,3,1,1 Persona,1,0,1,1,0,0,1,0,1,2,Centro,408.4641682702
483,1,3,3,3 o 4 Personas,4,0,4,1,0,0,1,0,1,2,Centro,242.9107268358
492,1,4,3,3 o 4 Personas,3,1,2,1,0,0,1,0,1,2,Centro,465.2829318553
500,1,4,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,411.453333778
517,1,3,1,1 Persona,1,0,1,1,0,0,1,0,2,2,Centro,612.6962524053
519,1,2,3,3 o 4 Personas,3,0,3,1,0,0,1,0,1,2,Centro,920.6272724427
527,1,2,1,1 Persona,1,0,1,1,0,0,1,1,2,2,Centro,387.519739822
531,1,4,4,5 o mas Personas,5,0,5,1,0,1,2,0,2,2,Centro,510.1519177288
547,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,300.9140678553
549,1,4,1,1 Persona,1,0,1,1,0,0,1,1,1,2,Centro,253.4793379471
556,1,4,2,2 Personas,2,0,2,2,0,0,2,2,1,2,Centro,372.2673019897
561,1,4,1,1 Persona,1,0,1,1,0,0,1,1,1,2,Centro,640.368853761
567,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,300.9140678553
569,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,192.9285302786
576,1,2,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Centro,622.483996322
583,1,4,1,1 Persona,1,0,1,0,0,0,0,1,2,2,Centro,513.6291847875
587,1,4,1,1 Persona,1,0,1,1,0,0,1,2,1,2,Centro,206.7857756937
591,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,251.171105457
600,1,4,2,2 Personas,2,0,2,0,0,2,2,0,1,2,Centro,108.8500883011
609,1,3,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Centro,371.2964167625
616,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,400.2305336006
618,1,4,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Centro,199.4069707951
631,1,4,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Centro,208.9921695381
638,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,166.0215546788
642,1,4,3,3 o 4 Personas,3,0,3,0,0,0,0,0,2,2,Centro,246.1814454261
650,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,204.2320841351
654,1,4,1,1 Persona,1,0,1,1,0,0,1,1,2,2,Centro,250.5146673278
663,3,5,4,5 o mas Personas,5,0,5,3,0,0,3,4,1,2,,344.5792173348
682,1,4,2,2 Personas,2,0,2,2,0,0,2,2,1,2,Centro,300.426243711
690,1,3,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Centro,879.9784821221
705,3,5,3,3 o 4 Personas,4,0,4,1,0,0,1,1,1,2,,361.4476024326
721,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,824.4964548697
733,3,5,3,3 o 4 Personas,4,0,4,1,0,0,1,0,1,2,,481.9301365767
749,3,5,1,1 Persona,1,0,1,2,0,0,2,2,2,2,,194.0205685319
756,1,3,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Centro,647.9486488601
761,3,5,2,2 Personas,2,0,2,0,1,0,1,0,2,1,,513.4886075554
766,3,5,2,2 Personas,2,0,2,1,0,0,1,0,1,2,,220.0665460952
775,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,828.7678776497
781,3,5,4,5 o mas Personas,5,0,5,0,0,0,0,4,1,1,,501.2061343052
801,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,606.0867979506
817,1,3,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Centro,481.2382324105
830,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,753.513316371
835,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,425.8988309923
838,1,4,3,3 o 4 Personas,4,2,2,1,0,0,1,0,1,2,Centro,444.6921333624
996,3,5,3,3 o 4 Personas,3,0,3,2,0,0,2,2,1,2,,476.6025038881
843,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,300.9140678553
847,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,698.9109021412
854,1,3,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Centro,586.6523214147
867,1,2,4,5 o mas Personas,6,0,6,1,0,0,1,0,1,2,Centro,1206.6321616671
886,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,589.0171701867
890,1,4,2,2 Personas,2,0,2,2,0,0,2,2,1,2,Centro,500.7104061849
895,1,4,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,252.5322048585
902,1,4,3,3 o 4 Personas,3,0,3,1,0,0,1,1,1,2,Centro,499.7483342149
909,1,4,1,1 Persona,1,0,1,0,0,0,0,0,1,2,Centro,513.6291847875
928,1,4,2,2 Personas,2,0,2,2,0,0,2,2,1,2,Centro,282.4659791413
935,3,5,2,2 Personas,2,0,2,2,1,0,3,3,1,1,,410.7908860443
946,1,4,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Centro,285.1872313488
956,3,5,1,1 Persona,1,0,1,0,0,0,0,0,2,2,,313.4178414745
960,1,4,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Centro,458.8707231218
980,1,4,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Centro,437.5773549703
991,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,171.9508959173
1012,3,5,2,2 Personas,2,0,2,1,0,0,1,0,1,2,,513.4886075554
1019,1,4,2,2 Personas,2,0,2,0,0,0,0,1,2,2,Centro,367.9132984576
1022,1,4,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,176.3371430477
1034,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,289.0553853782
1040,1,4,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Centro,285.1872313488
1047,1,4,2,2 Personas,2,0,2,1,0,0,1,1,1,2,Centro,839.2341808013
1056,1,4,4,5 o mas Personas,5,2,3,2,0,0,2,2,2,2,Centro,294.4160321221
1078,1,3,2,2 Personas,2,0,2,1,0,0,1,0,1,2,Centro,382.2168996085
1083,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,473.5816443712
1087,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,255.7028409115
1091,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,192.9285302786
1094,1,2,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,374.5025668929
1099,1,3,4,5 o mas Personas,5,0,5,0,0,0,0,0,2,2,Centro,1133.891210713
1115,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,824.4964548697
1122,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,808.1157306008
1129,1,2,3,3 o 4 Personas,3,0,3,1,0,0,1,0,1,2,Centro,553.8733183801
1137,1,3,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Centro,815.8133844673
1150,1,3,1,1 Persona,1,0,1,0,0,0,0,1,2,2,Centro,526.859579363
1154,1,3,3,3 o 4 Personas,3,1,2,0,0,0,0,0,2,2,Centro,913.0339617197
1166,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,194.1859255618
1172,1,4,3,3 o 4 Personas,3,0,3,1,0,0,1,1,1,2,Centro,319.4204254403
1183,1,4,1,1 Persona,1,0,1,0,0,0,0,1,2,2,Centro,148.2335309632
1189,1,4,4,5 o mas Personas,5,0,5,1,0,0,1,1,1,2,Centro,243.6546472735
1209,1,4,1,1 Persona,1,0,1,0,0,0,0,1,2,2,Este,145.2688603439
1213,1,4,3,3 o 4 Personas,4,0,4,1,0,0,1,1,1,2,Centro,603.2345461264
1255,1,4,3,3 o 4 Personas,3,0,3,1,0,0,1,1,1,2,Centro,949.0294721175
1930,1,2,3,3 o 4 Personas,4,0,4,0,1,0,1,1,2,1,Oeste,304.3020983563
1948,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,166.0215546788
1980,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,266.3896749588
2007,1,4,3,3 o 4 Personas,4,0,4,0,0,0,0,0,2,2,Centro,108.2728672535
2028,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,183.8095783944
2030,1,4,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,490.6529874882
2038,1,3,1,1 Persona,1,0,1,0,0,0,0,0,2,2,Centro,310.7879541186
2057,1,3,2,2 Personas,2,0,2,0,0,0,0,0,2,2,Centro,327.6144853787
2064,1,3,1,1 Persona,1,0,1,0,0,0,0,20,2,2,Este,239.7507074629
2068,3,9,2,2 Personas,2,0,2,0,1,0,1,1,1,2,,234.7376491682
2095,3,9,1,1 Persona,1,0,1,0,0,0,0,0,2,2,,402.9657961815
