EncuestaPersona_id,EncuestaHogar_ID,zonaimm,ZatHogar,MZatHogar,DptoHogar,estrato,Anillo,Idpersonaech,PARENTESCO,FECHAVIAJES,LUGAR4MANANAENUM,zat4am,Edad,Edad052009,NacimientoAnio,sexo,TamanoHogar,PersonasenHogar,Vehiculosenhogar,TipousuarioModo,Preescolar,PrimariaComun,PrimariaEspecial,CicloBasicoLiceo,BachillerSecundario,BachillerTecnilogico,Tecnico,Profesorado,Universitario,Terciario,Posgrado,EstudioPrincipal,AsistenciaInstitutoEducativo,Jubilado,Pensionista,Rentista,Estudiante,QuehaceresEnCasa,¿Se movió?,Ponderacion
55,51,Oeste,81,9,1,1,Montevideo,2,2,24/08/2009 00:00:00.000000,1,81,31,31,1978,2,3 o 4 Personas,3,1,5,1,6,0,3,1,0,2,0,0,0,0,TEC ADMINISTRACION DE EMPRESAS,2,2,2,2,2,1,SI,233.358347918
68,67,Este,82,9,1,2,Montevideo,1,1,,1,82,71,71,1937,2,2 Personas,2,0,,0,3,0,0,0,0,0,0,0,0,0,,2,1,1,2,2,1,#N/D,227.7380474349
73,72,Este,82,9,1,2,Montevideo,1,1,19/08/2009 00:00:00.000000,1,82,44,44,1964,2,2 Personas,2,0,5,2,6,0,3,1,0,2,0,0,0,0,PERIODISMO,2,2,2,2,2,1,SI,121.4602919653
119,118,Centro,37,2,1,4,Montevideo,1,1,11/09/2009 00:00:00.000000,1,37,82,82,1926,2,1 Persona,1,0,,0,6,0,3,3,0,0,0,2,0,0,LIC ECONOMIA,2,1,2,1,2,2,#N/D,471.382628463
125,124,Este,82,9,1,2,Montevideo,1,1,13/08/2009 00:00:00.000000,1,82,45,45,1963,2,3 o 4 Personas,4,0,5,1,6,0,3,3,0,0,3,0,0,0,MAESTRA,2,2,2,2,2,1,SI,324.5889049133
143,142,Oeste,81,9,1,2,Montevideo,1,1,17/08/2009 00:00:00.000000,1,81,48,48,1960,2,2 Personas,2,0,,0,6,0,3,3,0,0,0,0,0,0,0,2,2,1,2,2,1,#N/D,364.3808758958
147,145,Oeste,81,9,1,2,Montevideo,2,2,21/08/2009 00:00:00.000000,1,81,40,40,1968,2,5 o mas Personas,5,0,5,1,6,0,3,3,0,0,3,0,0,0,PROFESORA QUIMICA,2,2,2,2,2,1,SI,330.1451134019
155,145,Oeste,81,9,1,2,Montevideo,4,3,,1,81,11,13,1997,2,5 o mas Personas,5,0,12,3,6,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SI,330.1451134019
160,145,Oeste,81,9,1,2,Montevideo,3,3,21/08/2009 00:00:00.000000,1,81,13,11,1995,2,5 o mas Personas,5,0,12,3,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SI,330.1451134019
165,145,Oeste,81,9,1,2,Montevideo,5,3,21/08/2009 00:00:00.000000,1,81,4,4,2005,2,5 o mas Personas,5,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SI,330.1451134019
169,168,Este,82,9,1,2,Montevideo,2,2,21/08/2009 00:00:00.000000,1,82,46,46,1962,2,5 o mas Personas,5,0,12,0,6,0,0,0,0,2,0,0,0,0,CORTE Y CONFECCION,2,2,2,2,2,1,SI,512.2941414857
175,168,Este,82,9,1,2,Montevideo,3,3,,1,82,20,20,1988,2,5 o mas Personas,5,0,5,2,6,0,3,0,3,0,0,1,0,0,CONTADOR PUBLICO,1,2,2,2,1,1,SI,512.2941414857
