nform,nnper,nvj,IDPERV,origen,proposito,VF5,VF6,tiempoviaje,modoprincipal,codsegorigen,codsegproposito,wcal0_x,LATITUD_ORIGEN,LONGITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_DESTINO,PICO_HABIL,Intra_Inter,publico_privado,motorizado,duracion,distancia_manhattan,idviaje,IDPER,SEXO,INSE,INSE_RecF,wcal0_y,E10,EDAD,codseghogar,CODSEG,CODLOC,NOMBLOC
1004,1,1,10040101,1,Trabajo,5.0,6,60.0,Bus,109009,111020.0,597.1607578,6148952.322833432,568573.3286589187,6141160.2898426475,578920.2977452059,No,Inter,Público,Motorizado,60.0,18139.00207707158,100411,100401,Femenino,42,M,597.1607578, ,42,109009,109009,1020,MONTEVIDEO
1004,2,1,10040201,1,Trabajo,5.0,"6,3",90.0,Bus,109009,1606115.0,597.1607578,6148952.322833432,568573.3286589187,6153014.576432164,553592.5918530711,No,Inter,Público,Motorizado,90.0,19042.990404579556,100421,100402,Masculino,42,M,597.1607578, ,43,109009,109009,1020,MONTEVIDEO
1004,2,2,10040202,2,Regreso al hogar/hogar,17.0,18,60.0,Bus,1606115,109009.0,597.1607578,6153014.576432164,553592.5918530711,6148952.322833432,568573.3286589187,No,Inter,Público,Motorizado,60.0,19042.990404579556,100422,100402,Masculino,42,M,597.1607578, ,43,109009,109009,1020,MONTEVIDEO
1005,1,1,10050101,1,Trabajo,9.0,"9,3",30.0,Auto conductor,121027,123201.0,634.7601675,6145551.396457765,571057.7222122651,6138068.974947939,576119.9687915056,Si,Inter,Privado,Motorizado,30.0,12544.668089066981,100511,100501,Masculino,60,A+,634.7601675, ,62,121027,121027,1020,MONTEVIDEO
1005,1,2,10050102,2,Regreso al hogar/hogar,17.3,18,30.0,Auto conductor,123201,121027.0,634.7601675,6138068.974947939,576119.9687915056,6145551.396457765,571057.7222122651,No,Inter,Privado,Motorizado,30.0,12544.668089066981,100512,100501,Masculino,60,A+,634.7601675, ,62,121027,121027,1020,MONTEVIDEO
1005,1,3,10050103,1,Compras (hogar),19.0,"19,02",2.0,Auto conductor,121027,121130.0,634.7601675,6145551.396457765,571057.7222122651,6144969.012430292,571562.1988807656,No,Inter,Privado,Motorizado,2.0,1086.8606959740864,100513,100501,Masculino,60,A+,634.7601675, ,62,121027,121027,1020,MONTEVIDEO
1005,1,4,10050104,6,Regreso al hogar/hogar,19.3,"19,32",2.0,Auto conductor,121130,121027.0,634.7601675,6144969.012430292,571562.1988807656,6145551.396457765,571057.7222122651,No,Inter,Privado,Motorizado,2.0,1086.8606959740864,100514,100501,Masculino,60,A+,634.7601675, ,62,121027,121027,1020,MONTEVIDEO
1005,2,1,10050201,1,Trabajo,11.0,12,60.0,Bus,121027,123003.0,634.7601675,6145551.396457765,571057.7222122651,6138547.759369361,576180.9350429475,No,Inter,Público,Motorizado,60.0,12126.849919086439,100521,100502,Femenino,60,A+,634.7601675, ,24,121027,121027,1020,MONTEVIDEO
1005,2,2,10050202,2,Regreso al hogar/hogar,20.0,21,60.0,Bus,123003,121027.0,634.7601675,6138547.759369361,576180.9350429475,6145551.396457765,571057.7222122651,No,Inter,Público,Motorizado,60.0,12126.849919086439,100522,100502,Femenino,60,A+,634.7601675, ,24,121027,121027,1020,MONTEVIDEO
1006,2,1,10060201,1,Compras (hogar),10.0,"10,04",4.0,A pie hasta 10 cuadras,109255,109255.0,662.2317415,6150081.289760826,570458.8362249176,6150081.289760826,570458.8362249176,No,Intra,Privado,No Motorizado,4.0,0.0,100621,100602,Femenino,39,M,662.2317415,4,82,109255,109255,1020,MONTEVIDEO
1006,2,2,10060202,6,Regreso al hogar/hogar,10.2,"10,23",3.0,A pie hasta 10 cuadras,109255,109255.0,662.2317415,6150081.289760826,570458.8362249176,6150081.289760826,570458.8362249176,No,Intra,Privado,No Motorizado,3.0,0.0,100622,100602,Femenino,39,M,662.2317415,4,82,109255,109255,1020,MONTEVIDEO
1007,1,1,10070101,1,Trabajo,8.0,"8,2",20.0,Auto conductor,109008,120015.0,472.9245084,6149557.983688049,568401.4157279985,6142049.316858357,570573.7464010741,Si,Inter,Privado,Motorizado,20.0,9680.99750276783,100711,100701,Masculino,45,M+,472.9245084, ,37,109008,109008,1020,MONTEVIDEO
1007,1,2,10070102,2,Regreso al hogar/hogar,17.0,"17,2",20.0,Auto conductor,120015,109008.0,472.9245084,6142049.316858357,570573.7464010741,6149557.983688049,568401.4157279985,No,Inter,Privado,Motorizado,20.0,9680.99750276783,100712,100701,Masculino,45,M+,472.9245084, ,37,109008,109008,1020,MONTEVIDEO
1009,1,1,10090101,1,Compras (hogar),11.1,"11,15",5.0,A pie hasta 10 cuadras,109023,109023.0,314.2574189,6148085.061664053,570899.2762895107,6148085.061664053,570899.2762895107,No,Intra,Privado,No Motorizado,5.0,0.0,100911,100901,Masculino,35,M-,314.2574189,4,93,109023,109023,1020,MONTEVIDEO
1009,1,2,10090102,6,Regreso al hogar/hogar,11.25,"11,3",5.0,A pie hasta 10 cuadras,109023,109023.0,314.2574189,6148085.061664053,570899.2762895107,6148085.061664053,570899.2762895107,No,Intra,Privado,No Motorizado,5.0,0.0,100912,100901,Masculino,35,M-,314.2574189,4,93,109023,109023,1020,MONTEVIDEO
1009,2,1,10090201,1,Asistencia médica,6.0,"6,2",20.0,Bus,109023,109010.0,314.2574189,6148085.061664053,570899.2762895107,6149213.984817185,568853.8997840246,No,Inter,Público,Motorizado,20.0,3174.2996586182853,100921,100902,Femenino,35,M-,314.2574189,3,71,109023,109023,1020,MONTEVIDEO
1009,2,2,10090202,8,Compras (hogar),13.1,"13,2",10.0,Bus,109010,109025.0,314.2574189,6149213.984817185,568853.8997840246,6147690.755667945,571040.3876106607,No,Inter,Público,Motorizado,10.0,3709.7169758762466,100922,100902,Femenino,35,M-,314.2574189,3,71,109023,109023,1020,MONTEVIDEO
1009,2,3,10090203,6,Regreso al hogar/hogar,13.55,14,5.0,A pie hasta 10 cuadras,109025,109023.0,314.2574189,6147690.755667945,571040.3876106607,6148085.061664053,570899.2762895107,No,Inter,Privado,No Motorizado,5.0,535.4173172579613,100923,100902,Femenino,35,M-,314.2574189,3,71,109023,109023,1020,MONTEVIDEO
1011,1,1,10110101,13,Regreso al hogar/hogar,9.0,10,60.0,Bus,114105,109023.0,582.3194513,6141134.2333624065,571853.9536948815,6148085.061664053,570899.2762895107,Si,Inter,Público,Motorizado,60.0,7905.505707017612,101111,101101,Masculino,46,M+,582.3194513, ,49,109023,109023,1020,MONTEVIDEO
1011,1,2,10110102,1,Compras (hogar),12.3,"12,33",3.0,A pie hasta 10 cuadras,109023,109023.0,582.3194513,6148085.061664053,570899.2762895107,6148085.061664053,570899.2762895107,No,Intra,Privado,No Motorizado,3.0,0.0,101112,101101,Masculino,46,M+,582.3194513, ,49,109023,109023,1020,MONTEVIDEO
