ZonaOrigen,ZonaDestino,n_viajes,cumsum_viajes
276,302,76691.46682295,0.0037493380283499735
229,129,69451.81334552505,0.007144739573027652
201,190,65404.99251228495,0.010342297734698793
534,535,53653.139825658815,0.012965324334947917
612,19,47362.529396733946,0.015280811832350662
618,129,46702.6862,0.017564040523229678
328,298,43979.50756486104,0.01971413683787852
32,20,42733.27540245174,0.02180330661360145
763,770,41806.69729529282,0.023847177287907688
370,423,38580.64688121,0.025733330891463166
247,242,34785.309075441444,0.027433935763782953
685,712,33359.34123296469,0.029064827072384558
543,555,32927.26297503401,0.030674594682212453
358,219,32721.74487879682,0.032274314801156966
500,126,31453.926516312444,0.03381205306219183
667,679,31397.51131515,0.03534703326332957
16,23,31360.607121521734,0.036880209270307156
568,351,30794.21050437628,0.0383856949427043
626,696,30492.248999999996,0.039876418141538784
683,682,30097.365700112896,0.04134783605082332
13,44,29203.37544264,0.042775548032862314
235,628,28971.0,0.044191899506098475
3,10,28213.33003076,0.04557120955939194
525,531,26657.984846353138,0.046874480972551286
325,331,26406.887395296457,0.0481654765842288
325,299,26281.25640947618,0.04945033027357535
356,69,26117.63510202,0.05072718474715895
144,145,26107.08526368638,0.052003523453973494
283,475,26101.58836298643,0.05327959342503834
128,140,25641.879816114004,0.054533188891335585
848,256,25388.439978299997,0.0557743940401545
290,291,24822.24348604139,0.05698791863821744
663,179,24546.0,0.058187938080489186
341,240,24538.0,0.05938756641400438
648,20,24444.14683445,0.060582606398160065
440,426,24025.73221560122,0.06175719067965343
650,644,23695.088098809647,0.06291561023497459
80,76,23612.055559612185,0.06406997044615097
65,64,23353.758294535866,0.06521170286705694
489,490,23232.21983126126,0.06634749344330744
502,514,23231.746173365947,0.06748326086308913
169,17,23113.0,0.0686132229493446
650,444,22978.53902064,0.0697366114272949
761,762,22932.6144142524,0.0708577547157828
220,195,22781.808993938328,0.07197152533921829
341,589,22680.784345121,0.07308035700955633
309,46,22621.35197833,0.0741862831150101
296,314,22621.35197833,0.07529220922046388
582,581,22479.051061912643,0.07639117843410824
553,544,21942.80330942252,0.07746393124879299
264,225,21754.236996020598,0.0785274653214326
459,42,21656.0,0.07958619672540217
770,760,21626.93211104097,0.08064350704113345
47,219,21079.068,0.08167403305046157
75,82,20962.87770304,0.08269887867946886
300,299,20909.52196228,0.08372111582129824
43,49,20873.95146844,0.08474161397167569
417,378,20811.93244151421,0.08575908009899025
220,29,20443.57961715811,0.0867585379744168
325,225,20105.97770538,0.08774149096685295
507,508,19794.601538111496,0.08870922121608933
339,594,19685.7674604,0.08967163072022526
20,32,19405.186493629997,0.0906203230152332
483,233,19402.9485167259,0.09156890589869562
74,351,19177.131179780838,0.09250644888992568
32,494,19153.08384521396,0.09344281624076564
517,524,19126.273953329222,0.09437787289367083
132,390,19052.464280639997,0.0953093210954127
13,169,19009.46474966,0.09623866711051787
681,274,19002.05423011,0.09716765083573721
266,478,18770.84602015,0.09808533111651897
33,32,18698.873230115358,0.0989994927487488
727,712,18276.34609193836,0.0998929976230262
545,555,17668.798110028427,0.10075680033033528
71,350,17659.07714115794,0.10162012779313843
33,35,17620.170639879998,0.10248155317177453
99,593,17544.625545842,0.10333928525693659
249,195,17434.08314798024,0.10419161307962699
371,225,17359.12778849679,0.10504027644013687
552,543,17165.502242700146,0.10587947371984026
769,768,16802.515265258826,0.10670092507636998
247,248,16765.46473964763,0.10752056508477456
338,30,16743.54507,0.10833913347133665
248,482,16712.36227427837,0.1091561773748412
433,437,16438.01446581,0.10995980879956686
681,680,16279.06561030497,0.11075566943813867
503,500,16103.99346909815,0.1115429710457788
312,495,15812.996290559999,0.11231604621033689
590,580,15664.356224789999,0.11308185457098298
342,249,15150.06616802,0.11382252001355314
52,294,15130.798858026003,0.1145622435044166
628,627,14926.489337059998,0.11529197858994313
165,167,14615.189058737069,0.11600649464237373
113,112,14591.781252893557,0.11671986632007472
341,54,14589.155721875622,0.11743310963925427
857,310,14561.670915749999,0.11814500926489033
544,555,14501.849305809214,0.11885398429609158
111,109,14491.960306553541,0.11956247586801755
304,699,14409.251342549998,0.12026692391493517
