ZonaOrigen,ZonaDestino,n_viajes,cumsum_viajes
144,145,25545.923226131454,0.003590901683971918
648,20,22148.0,0.006704169104084409
650,644,20626.51763079022,0.00960356703303127
220,29,20443.57961715811,0.012477250000909823
13,169,19009.46474966,0.015149344423832584
266,478,18770.84602015,0.017787897040885195
517,524,17951.0795264899,0.020311217929708986
338,30,16721.0,0.0226616308126646
628,627,14926.489337059998,0.024759795565677305
857,310,14561.670915749999,0.026806679060548358
341,54,14034.262983859999,0.028779426654594868
357,612,13248.526887246,0.030641726055107208
681,594,13068.828314499999,0.03247876585150311
266,22,12665.0,0.03425904090458803
341,20,12613.93083210846,0.03603213734215149
769,764,12398.0,0.03777488113276711
341,594,12269.0,0.03949949184151554
603,19,11601.113147906633,0.041130220015635835
136,15,11563.25,0.042755625898587606
136,409,11563.25,0.044381031781539376
169,15,11429.98535392,0.045987705116139435
201,437,11072.79831161,0.04754416990903324
235,482,11046.44858058,0.04909693081177243
612,306,10975.0,0.050639648435744554
140,16,10505.08,0.052116311037770716
604,539,10353.97791526,0.053571733744658165
352,616,10225.14278366,0.05500904654465667
352,4,10076.218265967,0.05642542554255162
247,365,9880.451,0.05781428621594507
196,299,9827.1026523,0.05919564789742902
857,382,9825.0,0.06057671401638356
32,498,9798.18894901,0.061954011399039284
97,611,9388.1603427,0.06327367248490348
247,437,9369.661,0.06459073318242915
612,618,9122.879444120133,0.0658731046539387
221,196,8914.0545738,0.06712612233886357
338,316,8627.326860109999,0.06833883570513781
97,87,8594.720574089999,0.06954696571905712
425,18,8396.25592363,0.07072719824650718
534,20,8276.65864667255,0.07189061940020404
47,30,8233.08722005,0.07304791586982325
41,331,8233.08722005,0.07420521233944245
33,18,8026.233227090522,0.07533343206186097
35,619,7815.292,0.07643200050877563
552,556,7775.97081354,0.0775250417131074
209,228,7685.632,0.07860538430424763
236,34,7628.38882477,0.07967768042110272
582,151,7625.67144288,0.08074959456502544
503,497,7624.5431788693995,0.08182135011279568
509,514,7624.5431788693995,0.0828931056605659
664,761,7606.801600999999,0.08396236733636746
35,20,7478.71856141865,0.08501362482424245
247,35,7417.77204376,0.08605631527185215
590,597,7413.4837578199995,0.0870984029300043
266,554,7413.0,0.08814042258800024
117,494,7363.09222488,0.08917542688342206
513,303,7305.319,0.09020231019732078
332,487,7144.674105239999,0.09120661221642702
465,53,6922.13520499,0.09217963271540251
322,668,6796.934603479999,0.09313505420075784
544,556,6793.298955195361,0.09408996463566364
33,548,6713.431367859999,0.09503364836126955
490,291,6695.685909,0.09597483766936943
664,303,6650.0,0.09690960506794935
664,54,6650.0,0.09784437246652927
20,511,6611.0,0.0987736577705912
421,287,6575.2074600000005,0.09969791184164495
77,20,6327.256,0.10058731223732453
158,18,6320.743136577999,0.1014757971424179
440,426,6222.700041673223,0.1023505004702522
136,104,6171.4806978960005,0.10321800407286248
610,569,6118.0,0.10407799007955601
702,196,5978.80717294,0.10491841023409136
113,299,5966.95034166,0.1057571637150431
568,351,5959.614487399999,0.10659488602044552
315,18,5942.0,0.10743013231854506
467,19,5939.0,0.10826495691706628
291,302,5903.21987353,0.10909475202750611
236,67,5887.55005118,0.10992234448545357
419,423,5869.9110702566595,0.11074745749312864
63,287,5808.365223289999,0.11156391921489961
117,760,5807.0,0.11238018903197533
113,764,5807.0,0.11319645884905107
582,297,5805.0,0.11401244753307459
117,500,5786.0,0.11482576545310218
439,292,5697.20743004,0.11562660211002679
545,547,5631.0,0.11641813221850852
715,689,5614.065944624648,0.1172072819656533
195,495,5587.5317407,0.11799270189192954
50,650,5555.0,0.1187735489444275
66,10,5554.68098864,0.11955435115460679
578,597,5532.947269779999,0.12033209833142665
660,266,5490.436,0.12110386984673335
433,179,5479.33815527,0.12187408137655913
425,306,5442.0,0.12263904441160753
56,517,5401.0,0.12339824421908575
342,376,5381.0,0.12415463269604192
65,390,5371.0,0.12490961550773708
421,680,5245.415,0.12564694527225168
87,306,5208.1131397399995,0.12637903164385236
545,700,5184.0,0.1271077285151664
545,34,5184.0,0.12783642538648043
312,471,5151.623321127711,0.12856057118051867
420,498,5145.55,0.12928386326890406
403,398,5145.086836467321,0.13000709025200066
341,340,5135.122352144135,0.13072891656215152
773,169,5131.44541084,0.1314502260174366
482,361,5119.55706662358,0.1321698643694741
581,495,5093.90650215,0.13288589711077092
457,566,5064.65289177155,0.13359781777368093
763,771,5037.211042433939,0.13430588103115976
353,412,5035.0,0.13501363349008455
375,225,5019.3451767199995,0.13571918540488412
136,570,5014.769656959999,0.13642409415476592
461,453,5002.49924187,0.1371272780950247
79,48,4969.49441023,0.13782582266075524
113,410,4968.0,0.1385241571624312
578,38,4960.138647831904,0.1392213866211424
618,616,4955.290326593257,0.13991793456817966
489,440,4902.92423100844,0.14060712159507502
710,226,4901.8879995,0.14129616296250702
247,299,4888.0,0.14198325214209478
187,619,4865.0,0.1426671082915822
710,659,4849.44399352,0.1433487777872787
706,315,4813.2287595,0.14402535663333701
33,400,4810.0,0.14470148162388882
352,529,4788.2814288399995,0.14537455371034075
582,542,4768.0,0.14604477490679624
